url,title,visit_count,last_visit_date
https://support.mozilla.org/products/firefox,,0,
https://support.mozilla.org/kb/customize-firefox-controls-buttons-and-toolbars?utm_source=firefox-browser&utm_medium=default-bookmarks&utm_campaign=customize,,0,
https://www.mozilla.org/contribute/,,0,
https://www.mozilla.org/about/,,0,
https://www.mozilla.org/firefox/?utm_medium=firefox-desktop&utm_source=bookmarks-toolbar&utm_campaign=new-users&utm_content=-global,,0,
https://www.mozilla.org/privacy/firefox/,,1,1727114989270193
https://www.mozilla.org/en-US/privacy/firefox/,"Firefox Privacy Notice — Mozilla",1,1727114989403804
https://www.google.com/search?client=ubuntu-sn&channel=fs&q=github,"github - Pesquisa Google",2,1727367636763304
https://github.com/,GitHub,3,1727367640109876
https://github.com/login,"Sign in to GitHub · GitHub",1,1727114999735158
https://www.youtube.com/,YouTube,2,1727115995586678
https://accounts.google.com/ServiceLogin?service=youtube&uilel=3&passive=true&continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3Dhttps%253A%252F%252Fwww.youtube.com%252F&hl=en,,1,1727115981717739
https://accounts.google.com/InteractiveLogin?continue=https://www.youtube.com/signin?action_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3Dhttps%253A%252F%252Fwww.youtube.com%252F&hl=en&passive=true&service=youtube&uilel=3&ifkv=ARpgrqdTwxuHDuoQbsEovCgzcmyRNJs3sq-kHp7A9V5drCHarx_YEzDFk7hUI16aKLcwsP9d_zBDzA,,1,1727115981780849
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3Dhttps%253A%252F%252Fwww.youtube.com%252F&hl=en&ifkv=ARpgrqfp9XwxyUbFvMJrT4fiUFpi-gqUOmrUPgv0YgSvnjrNxMruxmU9y8J1SVUBkoKPJmBVi5v6BA&passive=true&service=youtube&uilel=3&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S1477122083%3A1727115981755165&ddm=0,YouTube,1,1727115981858043
https://accounts.google.com/v3/signin/challenge/pwd?TL=APps6eZSUWLpJTAM3cqDNruglHTcKK_y8ihaKZe3xvXS0a5I5uvGtTmOKwJJWfcu&checkConnection=youtube%3A417&checkedDomains=youtube&cid=1&continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3Dhttps%253A%252F%252Fwww.youtube.com%252F&ddm=0&dsh=S1477122083%3A1727115981755165&flowEntry=ServiceLogin&flowName=GlifWebSignIn&hl=en&ifkv=ARpgrqfp9XwxyUbFvMJrT4fiUFpi-gqUOmrUPgv0YgSvnjrNxMruxmU9y8J1SVUBkoKPJmBVi5v6BA&pstMsg=1&service=youtube,YouTube,1,1727115991625686
https://accounts.google.com/CheckCookie?continue=https://www.youtube.com/signin?action_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3Dhttps%253A%252F%252Fwww.youtube.com%252F&service=youtube&hl=en&checkedDomains=youtube&checkConnection=youtube:417&pstMsg=1&flowName=GlifWebSignIn&ifkv=ARpgrqfp9XwxyUbFvMJrT4fiUFpi-gqUOmrUPgv0YgSvnjrNxMruxmU9y8J1SVUBkoKPJmBVi5v6BA&chtml=LoginDoneHtml&gidl=EgIIAA,,1,1727115994791679
